facility_type,loan_count,defaults,default_rate,exposure,exposure_share_pct
Small Business Retail Loan,15365,4820,0.3136999674585096,240292650,1.2548553548338748
Medical Loan,15342,3610,0.2353017859470734,138790800,0.7247927832236123
Other Personal Loan,85041,19552,0.22991263037828813,880898975,4.600227247260462
Personal Loan - Debt Consolidation,770245,173693,0.22550357353828976,11748520950,61.35308102634626
Lifestyle Loan,20561,4472,0.217499148874082,153341625,0.8007800457075069
Consumer Durable / Major Purchase,28909,5885,0.2035698225466118,344815500,1.8006941810526453
Home Improvement Loan,85946,16536,0.1923998789937868,1219699550,6.369510310057206
Credit Card Refinance,289796,52738,0.1819831881737498,4295447400,22.431668930769398
Auto Loan,14330,2277,0.15889741800418702,127224275,0.6643901207490427
