facility_type,loan_count,total_exposure,exposure_share_pct,loan_share_pct
Personal Loan - Debt Consolidation,1277877,20397134375,59.984146712357244,56.526522249175905
Credit Card Refinance,516971,7918298325,23.28623029621104,22.86806377583971
Other Personal Loan,155445,1700819550,5.001791307679485,6.876064950713682
Home Improvement Loan,150457,2205605925,6.486273363821206,6.65542220264099
Consumer Durable / Major Purchase,50445,639335600,1.8801660921466057,2.231420093529877
Lifestyle Loan,33283,252355025,0.7421287993157412,1.4722639503014154
Medical Loan,27488,260306875,0.7655136987955073,1.2159237888977947
Small Business Retail Loan,24689,404880250,1.190676879920093,1.0921108274191522
Auto Loan,24013,225472675,0.6630728497530743,1.0622081614814736
